Problem URL,Blog Name,URL,Person's Name,Location,Source,Description
,Amid Privilege,http://amidprivilege.com/,Lisa,"California,US ",http://40plusstyle.com/women-over-40-blogger-community/,"Mostly about clothing. Sometimes I’ll bring you a list of finds, objects of desire. That perfect pair of finely-woven khakis for example, or a review of the J. Crew Field Jacket in olive. Sometimes I’ll put up outfit photos, i.e. pictures of me in, um, clothes. I still find that a little embarrassing, but it is the best way to convey my approach to style, and let you know how, and if, it all comes together. Often we’ll discuss workwear. Let’s be clear, business casual is the devil. Just as often, we’ll talk about clothes for midlife, as we refuse to disappear, but are not yet ready for oversized red sunglasses and a purple hat."
,The Style Confessions,http://thestyleconfessions.com/,Heather,US (CA),http://40plusstyle.com/women-over-40-blogger-community/,"My name is Lisa. I grew up in California, went to college back East, and returned to California in 1984. Which implies, correctly, that I’m in my 50s. I work in the software industry, and spend my free time – such as it is - puttering about my garden, cooking, and watching series on my DVR."
,High Latitude Style,http://highlatitudestyle.com/,Nicole,"Fairbanks, Alaska , USA        ",http://40plusstyle.com/women-over-40-blogger-community/,"I am Nicole Mölders, married, no kids, one cat. My style is American classic with a twist to streetstyle. I live in Fairbanks, Alaska, Since I do not want to throw fashion and style out of the window just because it is 40 below outside, or summer temperatures are seldom above 85F (29.4C) at about 64.843N, I developed a style to cope with these challenges, This blog shares how to dress stylishly for cold summer and winter climate without having to look like a leftover from an expedition to Antarctica. Welcome to High Latitude Style!"
,Grown and curvy woman,http://grownandcurvywoman.com/,Georgette,US (PA),http://40plusstyle.com/women-over-40-blogger-community/,"I’m a 41 year old curvy woman seeking to show other plus size divas that WE too have style and DO NOT need to compromise our intergrity to look good. As I become more comfortable with this position, I’ve stopped trying to force myself to live up to the stereotypes dictated by mainstream media."
,Fabulous after 40,http://www.fabulousafter40.com/,Deborah,Toronto/Florida,http://40plusstyle.com/women-over-40-blogger-community/,"Fabulous after 40 is an online Fashion and Beauty site and social media community that publishes daily rich content on a daily basis to help women 40, 50 and beyond to look Stylish and feel Confident."
,Happiness at midlife,http://www.happinessatmidlife.com/,Alice,"California,US ",http://40plusstyle.com/women-over-40-blogger-community/,I am Alice and I am officially in my mid life. This blog is my way of expressing myself through fashion and not feel like a frumpy or old just because of my age. I hope that you will enjoy my adventures as I learn to mix and match patterns & colors and find clothes that make me feel great.
,Odyssey,http://www.odysseyhome.com/,Stephanie,"Austin, Texas",http://40plusstyle.com/women-over-40-blogger-community/,"Fashion and design enthusiast. Artist. Wearer of black. Austin, Texas. www.ODYSSEYhome.com www.twitter.com/ODYSSEY_home www.instagram.com/odysseyhome"
,Teatime with Trina,http://teatimewithtrina.wordpress.com/,Trina,US (Utah),http://40plusstyle.com/women-over-40-blogger-community/,"Hi! I’m Trina. Welcome to the place to share beautiful, creative ideas. I’m a wife to a wonderful (perfect in my eyes) husband. I mean, this man not only supports me with all my creative outlets but he also encourages them. I’m a mother to my best friend and daughter Tori Locke, and son Riley who is also a best friend but just in a boy kind of way. I’m a sister to two great siblings, and a daughter to two wonderful parents. And last but not least a most fortunate friend to some incredible people who enrich my life on a daily basis."
,The Citizen Rosebud,http://www.thecitizenrosebud.com/,Bella,"Seattle, WA",http://40plusstyle.com/women-over-40-blogger-community/,"Fresh picked vintage and pre-loves for your style enjoyment. We feature quality, quirky, quintessential vintage and pre-loved goods. Each find has been lovingly hand picked, cleaned and mended as needed. We look for luxury fabrics, flattering cuts, in classic prints and patterns. We seek out USA/Union Made labels, and ethically produced goods."
,Playing with scarves,http://playingwithscarves.wordpress.com/,Anne,US (MI),http://40plusstyle.com/women-over-40-blogger-community/,"It all started the day Anne turned 16 and was given a magnificent designer silk scarf by her beloved mother.This marked the beginning of an unconditional love for silk scarves and a true fascination for the French luxury world. After her graduation from a major French business school and after a position with l’OREAL Paris, Anne joined CHRISTIAN DIOR Paris where she worked on developing new accessory lines. Uniqueness, beauty and high-end quality - the signature of all true luxury products – became her daily standard."
,Black Cat Plus,http://www.blackcatplus.com/,Jodell,"Rochester, NY, US",http://40plusstyle.com/women-over-40-blogger-community/,Plus Size contemporary web clothing boutique owner
,Best of everything after 50,http://www.bestofeverythingafter50.com/,Barbara,"New York, NY",http://40plusstyle.com/women-over-40-blogger-community/,"""The Best of Everything After 50: The Experts' Guide to Style, Sex, Health, Money and More"" is the #1 best-selling resource book for women over 50. It features information from well-known experts such as Diane von Furstenberg, Dr. Patricia Wexler, David Kirsch, Laura Geller, Frederic Fekkai, Jane Bryant Quinn and many other authorities on health, beauty, fitness, style, sex, money and career."
,Silvergirl,http://silverpooloflightgirl.blogspot.com/,Brett,"Charlotte, NC",http://40plusstyle.com/women-over-40-blogger-community/,"Welcome! Hi, I'm Brett.I turned 50 in Jan. 2013.Please follow me in my adventure of dressing well without breaking the 
bank or looking like a matron that only dresses for comfort."
,Be fabulous daily,http://befabulousdaily.us/,Cynthia,"Charlotte, North Carolina",http://40plusstyle.com/women-over-40-blogger-community/,to Be Fabulous Daily
,Mispapelicos,http://www.mispapelicos.com/,Sacramento,Andalucía-Spain,http://40plusstyle.com/women-over-40-blogger-community/,http://www.mispapelicos.com/
,Buckle Button Zip,http://bucklebuttonzip.com/,Laura,USA,http://40plusstyle.com/women-over-40-blogger-community/,"Writing and creating this blog is an absolute joy for me. I get a little giddy every time I publish, so thanks for being along for the ride. I’m a mother, wife, and freelance copywriter/marketer, who loves fashion, traveling, cooking, reading, gardening (but mostly the part where I buy the plants) and looking at other people’s DIY projects. Right now, I have an unnatural addiction to House Hunters International, Houzz.com and the ever-alluring posts by Design Sponge."
,The Closet Shopper,http://theclosetshopper.blogspot.com/,Tracy,"Bay Area, California, United States",http://40plusstyle.com/women-over-40-blogger-community/,"Tracy Miller, Fashion Consultant, Wardrobe Guru, Closet Shopper based in Oakland, CA. Whether you need a simple closet consultation or a full day of guided shopping, I'll help you find the perfect look to suit your body and lifestyle. Visit my website at theclosetshopper.com."
,Gracefully 50,http://gracefully50.com/,Jeannie,USA,http://40plusstyle.com/women-over-40-blogger-community/,"Hello everyone, I’m Jeannie and welcome to my blog. I am a wife, happily married to my best friend since 1984. I’m also a mother of two wonderful, grown children, a grateful daughter of Korean parents, and most important, a work-in-progress Christian.
"
,Fashion recon,http://fashnlvr.blogspot.com/,Yvonne,USA,http://40plusstyle.com/women-over-40-blogger-community/,"I love clothes, shoes and vintage fashion. Half of shoebitches.com Shoes & Fashion are my passions! Visit Fashion RECON"
,Idee Fixe,http://ideefixemon.blogspot.com/,Suzanne,"Westchester County, NY, United States",http://40plusstyle.com/women-over-40-blogger-community/,"I'm a professional published author, writer, blogger, ghost writer, freelancer, researcher, teacher, public speaker, wardrobe consultant, small business consultant, physic intuitive tarot reader, witch, mother, wife & lunatic. Living the bucolic life (not) while stirring things up in the 'burbs. I'm usually found writing, gardening, whipping up organic feasts, and buying more shoes."
,Kitty's vintage & kitch,http://kittysvintagekitsch.blogspot.com/,Kitty,"Queenland , Australia",http://40plusstyle.com/women-over-40-blogger-community/,"A vintage shop specialising in quality retro, classic vintage homewares, rustic goodies, kitchenalia, vintage childrens items, small furniture & clothing."
,Did you make that?,http://didyoumakethat.com/,Karen Ball,"London , England",http://40plusstyle.com/women-over-40-blogger-community/,"Based in London, England, I started this blog in 2010 to have fun and laughter around the topics of sewing, knitting - and a tiny ickle bit of crochet. I am a writer and editor by trade, so the writing bit came relatively easily to me. That’s not to say that blogging was all a smooth journey! Like all the best bloggers, some of my early photos and posts were a bit clumsy and self-indulgent, but that’s all part of the learning curve and things did improve…"
,Ephemera,http://sheilaephemera.blogspot.com/,Sheila,"Victoria , BC , Canada",http://40plusstyle.com/women-over-40-blogger-community/,"I'm a 40-something woman who loves fashion, art, books and quirky things. This blog is a collection of my daily fashionable outfits."
,Helga von Trollop,http://helgavontrollop.blogspot.com/,Helga,New Zealand,http://40plusstyle.com/women-over-40-blogger-community/,"Being as FABULARSEHOLE as possible, despite age, budget, weight or any other bullshit ""restrictions""!"
,Misfits Vintage,http://www.misfitsvintage.com/,Sarah Misfit,Australia,http://40plusstyle.com/women-over-40-blogger-community/,"Hey, I'm Sarah Misfit. I live in Australia - I work in Canberra during the week and head home to my little mid century beach shack on weekends. I'm a vintage super freak, vegetarian-coeliac, music-obsessed, kitsch-aholic, animal-loving, critical-thinking, completely profane, irreverent misfit. Sarah xxx"
No Location Found,North East Chic,http://northeastchic.wordpress.com/,,,http://40plusstyle.com/women-over-40-blogger-community/,"Who am I? Wow, that’s kinda hard to articulate…I’m 40-something but still remember 20-something like it was yesterday. I work in a cube but my mind is often a million miles away. I’m married to a great guy who encourages me to “do my own thing.” I love style and fashion but don’t care to spend thousands, so I shop on a budget. Here are my musings…"
No location Found,Restingmotion,http://restingmotion.typepad.com/restingmotion/,Mardel,,http://40plusstyle.com/women-over-40-blogger-community/,"In 1969 I wanted to be an astronaut. I also wanted to be a poet, a fashion designer, a concert pianist, and a princess. At that time my view of a princess’s role was to wear pretty dresses, run the castle, and go out and rescue the hapless prince when he got in trouble slaying dragons. I have no idea where I got that idea, and yes, I was a little old to still be dreaming about princesses."
,Bella gets real,http://bellagetsreal.blogspot.com/,Lila,"Washington, United States",http://40plusstyle.com/women-over-40-blogger-community/,"Welcome! My name is Lila. I am a lover of my carefree puppy ~Bella, vintage finds, living a truthful life, Fashion over 40, and all thing beautiful. I started my blog as an outlet for my creative side focusing on fashion, travel, and of course living life as Bella and now I am working on my own skincare line. I am so happy you stopped by."
,Fashion's most wanted,http://www.fashionsmostwanted.blogspot.com/,Christina,"London, United Kingdom",http://40plusstyle.com/women-over-40-blogger-community/,"This was supposed to be a blog about fashion but it went a little off course. Whether it's the latest thing or something from a bygone age, if I like it I'll write about it. I love talented people and beautiful things. I hope you enjoy the blog and I always love to hear your comments."
Please Check this Site,Heather's Design Blog,http://heathersdesignblog.com/,,,http://40plusstyle.com/women-over-40-blogger-community/,
,Merci Blah Blah,http://www.merciblahblah.com/,Merci ,United States,http://40plusstyle.com/women-over-40-blogger-community/,"Imma chic freak with a Hubs, grade-school-aged triplets, and a cat named Pickles. I love fashion, shoes, design, and trashtastic reality TV. I may or may not have the sense of humor of a 13 year old boy, and decided to share it all with the world. Feel free to drop me a line at merciblahblah@gmail.com with your comments. I will also accept your book, television or Lifetime Movie Of The Week offers."
,I never signed up for this,http://blog.darrylepollack.com/,Darryle,"Los Angeles, CA",http://40plusstyle.com/women-over-40-blogger-community/,"Writer, Artist, Speaker, Survivor: ""I never signed up for this...""because life never turns out the way we expect"
No Decription,Materfamilias writes,http://materfamiliasknits.blogspot.com/,Frances,,http://40plusstyle.com/women-over-40-blogger-community/,
,Vintage Vixen,http://vintagevixon.blogspot.com/,Vix,United Kingdom,http://40plusstyle.com/women-over-40-blogger-community/,"I'm Vix, a jumble sale-ing, car-booting, skip-diving, charity shopping, hedonistic hippy chick in love with life, India and vintage clothes. In my world getting dressed is always an adventure, never a chore. My style is Woodstock refugee meets Rolling Stones groupie with a bit of vintage Bollywood thrown in. I don't follow fashion and if I look ridiculous so what? Not being noticed and blending in with the crowd is my idea of hell. A day without dressing up is a day wasted."
,Over 50 feelling 40,http://www.over50feeling40.com/,Pam,"San Antonio, TX , USA",http://40plusstyle.com/women-over-40-blogger-community/,"A style blog for women of strength, dignity, and joy!"
,The house in the clouds,http://thehouseintheclouds.com/,Fabienne,"Oakland , California, USA",http://40plusstyle.com/women-over-40-blogger-community/,"I'm a passionate style blogger with a penchant for color, a love of details and a desire for comfort. I believe you can look good on any budget. Perpetuating positive body image is dear to me, my wish is to inspire you the same way that I've been inspired by others. Hope you enjoy the diversity of my musings."
The Connection has timed out,50 is the new 40,www.fiftyisthenewforty.net,,,http://40plusstyle.com/women-over-40-blogger-community/,
,Bubbling with elegance and grace,http://www.bubblingwitheleganceandgrace.com/,JT,Southern,http://40plusstyle.com/women-over-40-blogger-community/,"Don't compare yourself, you are beautiful! BE YOURSELF!"
,Everything just so,http://www.everythingjustso.net/,Jill,"Brooklyn, NY, USA",http://40plusstyle.com/women-over-40-blogger-community/,"Everything Just So focuses on reviews and opinions of products and books in the realm of fashion and beauty, with sides of outfits, interviews, and fashion exhibits in New York City museums."
Cant open site,40 plus and fly,http://aleasemichelle.typepad.com/,Alease,,http://40plusstyle.com/women-over-40-blogger-community/,
Contact Support,The sparkle in her eye,http://thesparkleinhereye.com/cgi-sys/suspendedpage.cgi,Lisa,,http://40plusstyle.com/women-over-40-blogger-community/,
Not upen site,For those about to shop,http://www.forthoseabouttoshop.ca/,Laura,,http://40plusstyle.com/women-over-40-blogger-community/,
Country Not mention,Maggie Alderson Style Notes,http://maggiealdersonstylenotes.wordpress.com/,Maggie,,http://40plusstyle.com/women-over-40-blogger-community/,Maggie Alderson is the author of six novels and has published four collections of columns.
Name Missing,Idiosyncratic Fashionistas,http://idiosyncraticfashionistas.blogspot.com/,,"New York , USA",http://40plusstyle.com/women-over-40-blogger-community/,"GROWING OLD WITH VERVE ‘Growing old gracefully’ is an outdated concept. We prefer ‘growing old with verve’. This blog documents our efforts to live up to that motto, in photos and essays. We embrace our gray hair, while sharing the playground nicely with our younger siblings. Bette Davis was right when she said 'growing old is not for sissies', but it’s also not one of Dante’s circles of hell. Idiosyncratic Fashionistas explores what’s out there for Women of a Certain Age, comments on what’s not out there, and demonstrates that our overlooked demographic is still fabulous. AND see our long awaited and much ballyhooed public access tv debut, in which we model 12 great hats in 28 minutes: http://www.blip.tv/file/3206182/ AND see us on StyleLikeU: http://stylelikeu.com/closets/valerie-and-jean/#comments. You can visit our complete weekly postings, dating back to August 2, 2009. We update VERY late every Sunday. THE IDIOSYNCRATIC FASHIONISTAS ARE NOW AVAILABLE FOR CONSULTATIONS ON RETAIL FASHION PRODUCT DEVELOPMENT. To paraphrase Freud, 'What do women of a certain age want?' We know! Ask us. Contact mono.crone@gmail.com."
Blog not found,Simply sassy,http://iamapear.blogspot.com/,Wendy,,http://40plusstyle.com/women-over-40-blogger-community/,
,The chronicles of Lady K,http://ladykchronicles.blogspot.com/,Kari,"Del-a-where, United States",http://40plusstyle.com/women-over-40-blogger-community/,"No. I'm not self-absorbed. I'm just an old lady with one foot in the grave, trying to figure out how to make the best of her last days here on Earth. Seriously, I am 53, and for the first time in my life, I'm playing dress up, and finding out that it's a lot of fun. I'd love for you to travel along with me."
,Wendy Brandes,http://wendybrandes.com/blog/,Wendy,"NYC, USA",http://40plusstyle.com/women-over-40-blogger-community/,"Fine jewelry in 18K gold, platinum and silver."
,A femme d'un certain age,http://afemmeduncertainage.blogspot.com/,Tish,France,http://40plusstyle.com/women-over-40-blogger-community/,"All my career -- on both sides of the Atlantic -- I've been a life and style writer and editor for news- papers, magazines and books. I moved to France for a job and stayed for love."
,Beryl's Tulsa blog,http://myniecetoldmetostartblogging.blogspot.com/,Beryl,"Oklahoma, United States",http://40plusstyle.com/women-over-40-blogger-community/,"A native Southern Californian, I went to Seattle for a job, met my husband, and stayed way too long. My husband got transferred to Tulsa two years ago, and now I go between Tulsa and Southern California, enjoying every single day."
,Bespoke baroke,http://bespokebaroque.blogspot.com/,Gina,"California, USa",http://40plusstyle.com/women-over-40-blogger-community/,"My name is Gina Briley. Ask me who I am and depending on not just the day but what time it is, the first thing out of my mouth will always be different. I am a wife, mother, step-mother, and business owner over 40."
,Bourbon & Pearls,http://www.bourbonandpearls.blogspot.com/,Tabitha,USA,http://40plusstyle.com/women-over-40-blogger-community/,"""Leave a surfboard, a bottle of Elijah and two pink flamingos in a silver Airstream at the beach or you will never see B&P blog again. No cops"""
Name Missing,Budget Chic,http://budgetchic.org/,,fashionville,http://40plusstyle.com/women-over-40-blogger-community/,"I’m an outfit blogger and a fortysomething single parent with limited funds(my son 21, is entering his fourth year of college in the Fall, Woo Hoo!). As an outfit blogger (not a personal style or lifestyle blogger) and frugal shopper, I try to spend $40 and under for individual items. I’m try to be very frugal about my shopping and always shop clearance, seasonal or an add’l 50% off. I pay cash/debit for all of my clothing, shoes, handbags and other accessories."
No Description,Carrie Fabulous,http://www.carriefabulous.com/,Carrie,Southern California,http://40plusstyle.com/women-over-40-blogger-community/,
,She is addicted to clothes,http://shesaddictedtoclothes.tumblr.com/,Ana,"North West , England",http://40plusstyle.com/women-over-40-blogger-community/,"I am a 40-something (OK, as of this writing, 43-year-old) freelancer living and getting dressed in Northwest England. I thrift and scour clearance racks to feed my clothing addiction, and rarely pay full retail for anything, except shoes and boots. The shoes and boots exception is due to me having big feet and having a hard time actually finding shoes that’ll fit in the first place. - See more at: http://shesaddictedtoclothes.tumblr.com/about#sthash.IZaV5EOr.dpuf"
,Circa Vintage Clothing,http://circavintageclothing.com.au/,Nicole,"Melborne , Australia",http://40plusstyle.com/women-over-40-blogger-community/,"Welcome to my vintage shop Circa Vintage – here you will find almost two hundred years of Australian fashion. We’re based in Melbourne and the webshop features the largest online range of ladieswear in the country, with over a thousand unique vintage styles. We have menswear too, and we’re in the process of making it available online but currently it’s best to come and try it on - See more at: http://circavintageclothing.com.au/about/#sthash.Cg6KinZ4.dpuf"
,This is Corp Goth,http://corpgoth.blogspot.com/,CorpGoth,Trystan L. Bass,http://40plusstyle.com/women-over-40-blogger-community/,"By day, I'm a high-tech writer and editor, and by night I'm the Gothic Martha Stewart. On weekends, I travel back to the 16th and 18th centuries to be an aristocrat. A couple times a year, I travel around the world with my darling husband. Otherwise, we live in a bungalow with a silly tabby cat."
,Crazy Ravens,http://crazyravens.blogspot.com/,Paula,"British Columbia,Canada",http://40plusstyle.com/women-over-40-blogger-community/,"I am an acrylic painter exploring color and texture. I like horses, Canadian wildlife, old trucks, bold women, kind men, tequila and cashews. Most paintings are for sale. Contact me for prices and shipping if you are interested in purchasing a painting. And thanks for viewing my blog!"
,Curvitude,http://www.curvatude.com/,Goody,"Chi, IL , USA",http://40plusstyle.com/women-over-40-blogger-community/,"Chicago fashion, beauty & lifestyle blogger with a New York State of Mind. Reformed investments bean counter turned entrepreneur. loves: FAMILY, LIFE. fashion motto: FASHION IS AN INDIVIDUAL STATEMENT. living out loud is the ultimate luxury. not limited by the size on the tag in my dress. vicky can't handle my secrets. not big on following other peoples rules. will wear sequins any time of the day and listen to xmas music all year long. a big foodie. i love dancing, singing in the rain. reading is a life necessity. music fuels me. addicted to bags, bags and more bags. love autumn leaves. shopping is nirvana..from home depot to tiffany's..."
This site asking enter password,Decoding dress,http://decodingdress.tumblr.com/,DeeDee,,http://40plusstyle.com/women-over-40-blogger-community/,
,Pull Your Sox Up,http://pullyoursoxup.blogspot.com/,Desiree,USA,http://40plusstyle.com/women-over-40-blogger-community/,Desiree Woman out of uniform
nO DESCRIPTION,Fabulous Finds,http://fabulousfinds-elena.blogspot.com/,Elena,USA,http://40plusstyle.com/women-over-40-blogger-community/,
,Inspiration & Realisation,http://www.inspirationrealisation.com/,Donatella,Italy & USA,http://40plusstyle.com/women-over-40-blogger-community/,"Pins from my blog: http://www.inspirationrealisation.com/ : things that inspire me, things that I would like to make and some other random stuff!"
,Making Lemonade,http://makinglemonade-tomye.blogspot.com/,Tomye,"PA, United States",http://40plusstyle.com/women-over-40-blogger-community/,"About five years ago my life took a series of misfortunate events that caused me to doubt my faith...in God, in people and in friends. Since that time it has been a rollercoaster ride of emotions, events and self discovery. Every day is a step closer to becoming more comfortable with who I am. When life hands you lemons make lemonade, lemon chiffon, lemon pudding and whatever else you need to do to turn the bitter and tart to sweet and easy to swallow."
PAGE NOT FOUND,Malcriada,http://malcriada.net/,Jennifer,,http://40plusstyle.com/women-over-40-blogger-community/,
Blog not found,Metscan,http://metscan.blogspot.com/,,,http://40plusstyle.com/women-over-40-blogger-community/,
,Senora Allnut,http://mrsallnut.blogspot.com/,Señora Allnut,Logroño (Spain),http://40plusstyle.com/women-over-40-blogger-community/,sharing my personal point of view about fashion and style
,My intended life,http://myintendedlife.blogspot.com/,Ofella,"South Florida, United States",http://40plusstyle.com/women-over-40-blogger-community/,"This blog is a reflection of parts of my life And of my mile long list of interests that includes: thrifting, lots of eating, some cooking, decorating, reading, theater going, movies watching, photographing everything around me, listening and enjoying all kinds of music, friends making, local traveling... All done with a small, very small budget and the intentions of having fun as often as possible! CONTACT ME AT: myintendedlife@gmail.com"
,My piece of jewelry,http://mypeaceofjewelry.blogspot.com/,Zee,USA,http://40plusstyle.com/women-over-40-blogger-community/,"I am the jewelry designer forMY PEACE of jewelry. Inspired by ethnic beads, I craft necklaces, earrings, cuffs and mannequins with beads from all over the world. My blog features MY PEACE of jewelry photos, what inspires me to make a certain piece and  How I Wear MY PEACE of jewelry with MY OUTFITs. I'm 48 years old, still interested in creating, making and inspiring others to be true to yourself. If you like a piece in MY PEACE of jewelry collection, you can purchase from my Etsy shop"
,Never felt better,http://neverfeltbetterbyjen.blogspot.com/,Jen,"CALIFORNIA, UNITED STATES",http://40plusstyle.com/women-over-40-blogger-community/,"SACRAMENTO, CALIFORNIA, UNITED STATES*in bloom and cruelty free since 2005* i am an mild mannered office manager/PA by day and a busy vegan, mom, wife and student by night. i still love to craft and i still have an etsy shop HERE for buttons, handmade and vintage."
,Never growing old,http://nevergrowingold.blogspot.com/,Java,"PA, United States",http://40plusstyle.com/women-over-40-blogger-community/,"Hello! I refer to myself as ""Java"". I am 48 years young and I'm from Pennsylvania and have lived here all my life. I am living on the land that my Grandfather used to have a working dairy farm for more then 50 years. I am married to my high school sweetheart ""Joe"" 27 years and have been together for 33 years! We have 4 wonderful sons. I started modeling when I turned 40! Join me as I struggle to comprehend that I am not 20 anymore and having a hard time dealing with the ""age"" thing! Wanna read more about me? Click on the ""About Me"" under my logo banner at the top!"
,Over 40 fashions,http://over40fashions.com/web/,Barb,USA,http://40plusstyle.com/women-over-40-blogger-community/,"I started Over 40 Fashions to help change the paradigm of women's fashion. Women are currently told what we should wear by the fashion industry. However, many women would rather have clothes that make us look our best, whether current trends or classic fashion. This site features REAL WOMEN OVER 40 who take photos of clothes they enjoy and describe what they like about them. We see on non-airbrushed bodies if something looks good on our particular body shape. Women under 40 can see which styles really WILL stand the test of time (and which investment pieces will fit their bodies as they age). It’s a whole new concept."
No description,Passage des perles,http://passagedesperles.blogspot.com/,,USA,http://40plusstyle.com/women-over-40-blogger-community/,
,Please may I,http://pleasemayi.blogspot.com/,Trayci,"England, United Kingdom",http://40plusstyle.com/women-over-40-blogger-community/,"I am a full time working mom of two girls. Kassie aged 26 and Ashleigh 18 and wife to Andy. I love food, travel, clothes and have a very naughty shoe habit! I love shoes. I try to make time for friends and family but fail miserably as time passes far too quickly, Sorry guys but love them all immensely. Note to self, must do better! Thank you for visiting and don't be a stranger, strangers are only friends I haven't met yet!"
,Pomamama,http://pomomama.blogspot.com/,Amanda,USA,http://40plusstyle.com/women-over-40-blogger-community/,"Hi. My name is Amanda, though you might know me as pomomama or ebbandflo or even Dr. Maxwell if we go way back."
,practical paralegalism,http://www.practicalparalegalism.com/,Lynne,North Carolina State,http://40plusstyle.com/women-over-40-blogger-community/,"Lynne J. DeVenny, is aNorth Carolina State Bar Certified Paralegal, currently working as an immigration and litigation paralegal. She is a nationally recognized writer, speaker and advocate for the paralegal profession. She has over 25 years of legal experience, and specializes in immigration law, workers’ compensation, serious civil injuries, wrongful death cases, and Social Security disability cases."
Blog not found,Rags against the machine,Rags against the machine,Terri,,http://40plusstyle.com/women-over-40-blogger-community/,
