Problem,Blog Name,URL,Person's Name,Location,Source,Description
,Kalapalette,http://www.kalapalette.com/,Apurv,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"Shopping is every girl’s addiction. Period! While men think that shopping is leisure for us, it’s no nirvana as it seems to be. Imagine the challenge of putting up one look which is in the current trend, matches your personal style, is comfortable for you to wear and will be worth the money(bargains) you will be sweating up to invest in. Not to forget the hours of store hops (even if it’s virtual), going through thousands of options available and managing to find out exactly what you have been looking for. Get it?"
,Labels & Love,http://mmlabelsandlove.blogspot.com/,Manvi Mittal,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"While dealing with problems, we often have to look beyond the usual to resolve them. This isn’t always easy and can be quite time consuming. As most people, I too have faced challenges in my seventeen years of life. Nevertheless, I have discovered that analysis and creativity both play a key role in determining answers."
,Live Love Dressup,http://livelovedressup.blogspot.com/,Rukman,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"I love life, I love love and I LOVE to dress up!!! I'm a fashion management student and like every other girl I love dressing up and having some fun with what's inside my closet. This is my personal style blog, with my orignal outfit creations, inspired from here-there and everywhere; from the runways to the streets! I just wanna share with you what I love myself...so come along and have some fun with me :) So, What did you put on this morning?"
,Little Joy,http://www.littlejoy-nikki.blogspot.in/,Nikki,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"I know its been long and i have wasted a lot of time but i had studies to do,New subjects you see.But,since i aint a nerd,i did take out some time for an outfit post :D So here it is,hope you like it :)"
,Look Who's Wearing,http://www.lookwhoswearing.com/,Gayatri,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,This is me. And this is probably the only time I'll appear on the blog unless there is an outfit I really want to share. I prefer being behind the camera rather than before it.
Blog not found,Makeup-Friendly ,http://www.makeupfriendly.blogspot.com/,,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"
"
Name Missing,M.U.S.E.,http://musemeustyledforeternity.blogspot.in/,,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"Hey its me B :) Have been longing to do this for long but could'nt wait any longer . I Promise to make it as exciting as possible but can't without valuable feedback & required appreciation .Bear with the usual rantings & I Look forward for having engaging discussions on the varied hot topics and the little things we Fancy :) Stay with me is all I can say . Favorite quote: If Loving FASHION is crime , I plead GUILTY !"
,Music Photography Fashion,http://musicphotographyfashion.blogspot.in/,Deepika Gill,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"""A music lover, an amateur photographer and a fashion admirer"" that's what describes me the best. Except that I am an accessory designer with my designs selling under a label called ""Deepika Designs"" a.k.a DD"
,My Unfinished Life,http://www.myunfinishedlife.com/,Sarkar Sushmita,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"I am a traveler, writer, photographer, foodie, fashion fanatic and a shopaholic. I share experiences from my life here and hope people find I am a traveler, writer, photographer, foodie, fashion fanatic and a shopaholic. I share experiences from my life here and hope people find them as exciting as I do"
,Neha Kapil Pathak,http://nehasdomain1.blogspot.com/,NEHA KHURANA PATHAK,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,I would like to Introduce myself as Neha Kapil Pathak.My services are exclusively designed for women.I organise personalised shopping trips for Indians as well as foreign nationals new to the city of New Delhi and Mumbainehasdomain1@yahoo.co
Name Missing,Peaches and Blush,http://www.peachesandblush.com/,,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"Peaches & Blush started in 2011 as an Indian beauty and makeup blog, but over the course of two years has become one of the most popular online portals focusing on Indian beauty, fashion and Indian brides! At Peaches & Blush we aim to create a super fun, informative, and super addictive space that you will want to come back to everyday (Just make sure your boss doesn’t catch you at it- Yes,P&B can be quite a distraction). Since it is customary to ‘show off’ in the ‘About Me’ section, here are a few places where you would have spotted us."
,Roses et epines,http://lacegrasshues.wordpress.com/,anupriya dutta,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,Lace Grass Hues is my single independent project which I have carried out for four years and dutifully pursued it. The venture started out in the summer of 2010 when I first laid my hands on an actual international Vogue and thus my love for fashion blossomed (or revived). Ever since I have changed this blog’s content and theme but tried to keep the originality as the main object. I am also a fashion writer and you can check out on the work+ features page!
,Sayanti,http://sayanti.wordpress.com/,Sayanti,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"Hi. I am a 21 year old girl from Kolkata, currently studying in NIFT, New Delhi. An aspiring fashion designer, I like to create garments, artworks and derive inspiration from everyday incidents,places and things"
Error 404,Secretly Stylish,http://www.nidhii.com/,,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"
"
,Serenpenditybyswatir,http://serendipitybyswatir.wordpress.com/,Swati Rastogi,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"Here I am welcoming myself to the world of blogs this time not as a reader but a BLOGGER! Yuupiiiieee!!!! After an extensive research I finally made a blog!PHEW!! :) I am Swati from Delhi, India. I was an avid reader of many beauty blogs and that’s when I decided to have my own blog. Though I don’t want to limit my blog to makeup only, I will rather love to talk about everything that comes to my mind.Everything I would talk about will have my personal opinion attached to it… well who doesn’t want to speak their mind"
,Sheena Fab,http://sheenafab.com/wp/,Sheena Sherwani,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"Im Sheena Sherwani an entrepreneur, Designer, fashiono-holic, writer… A heart that desires to express all that emanates happiness and beauty."
Name Missing,Skin and Health Care,http://dr-geetika-mittal-gupta.blogspot.in/,,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"Acne is the commonest skin disorder across the world and affects men and women across all ages and skin types. The process leading to acne involves entrapment of excess keratin and sebum in the hair follicles in skin. This debris may further get infected by skin bacteria, transforming the open and closed comedones (blackheads and whiteheads) to active acne (pimples, nodules and cysts). Left untreated, acne may leave permanent scars, pits and pigmentation. Thus it is imperative to treat it at the earliest."
,Style Fashion Etc.,http://www.stylefashionetc.in/,Srish,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,www.stylefashionetc.in
Error 404,The Aili,http://www.theaili.com/,,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"
"
,The Delhi Fashion Blogger,http://www.thedelhifashionblogger.com/,Komal,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"Pretty women wonder where my secret lies. I'm not cute or built to suit a fashion model's size But when I start to tell them, They think I'm telling lies. I say, It's in the reach of my arms The span of my hips,The stride of my step,The curl of my lips. I'm a woman Phenomenally. Phenomenal woman, That's me"" - Phenomenal Woman by Maya Angelou ."
Name missing,The Golden Journal,http://thegoldenjournalblog.wordpress.com/,,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"I’m a 20-something from Delhi, India. The Golden Journal is my first blog born out of the need for a creative outlet and my love for luxury and fashion. I will try my best to make it a treat for those who share my passion of the two and also for those who would like to know more about things that spoil us"
,The Fashion Flite,http://www.thefashionflite.com/,surbhisuri,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,Delhi fashion blogger Fashion Shopping n makeup hooked Sometimes moronic😬 Read more at http://web.stagram.com/n/surbhisuri/#UCzqwfKgrYOdLOx3.99
Not Found,The Fierce Pajamas,http://thefiercepajamas.tumblr.com/,,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"
"
,The Shopaholic Diaries,http://www.theshopaholic-diaries.com/,Nitika Bhatia,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,Indian Fashion Blogger - www.theshopaholic-diaries.com Working as a Content ( +Social Media ) Developer
,Trendy Mannequin,http://www.trendymannequin.blogspot.in/,Shweghna Gursahaney,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"Living in the hep town Delhi of India, I'm Shweghna Gursahaney, 16 years old presenting before you the style tips, fashion techniques, D.I.Y's, very rarely make-up tips etc. My blog reflects the ideas and thinking of an Indian girl who believes there's fashion in every little thing. Have fun exploring. XOXO Shweghna"
,Vanity No Apologies,http://www.vanitynoapologies.com/,Anshita,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,"I’m Anshita from Delhi and I’m the Founder and Editor of this Indian beauty blog. I started this blog in 2010 while doing my Bachelors in Business Economics (BBE) from Delhi University. In these 3years I’ve taken vanitynoapologies.com (aka VNA) from just another blog to one of India’s best beauty blogs. Currently I’m pursuing my MBA but my love for all things beauty, makeup, fashion and bridal keeps on growing. While I juggle with various HR and Marketing theories (which are meh if you ask me!) in the college during the day, I work during the nights to take VNA to even greater heights."
Name Missing,"What's cookin, goodlookin!",http://www.whatscookinggoodlookin.com/,,"Delhi , India",http://www.in-fb.com/p/infb-directory.html,What's Cooking Goodlookin!? (The Goodlookin Blog) A project in the exploration of creativity. {People. Style. Food. Travel. Design}
Blog not found,Little Drama Queen,http://littledramaquen.blogspot.in/,,"Goa , India",http://www.in-fb.com/p/infb-directory.html,"
"
,Be Me,http://www.kavyabali.com/,Kavya Bali,"Hyderabad , India",http://www.in-fb.com/p/infb-directory.html,"Hi, My name is Kavya Bali and im the blogger who started 'Be Me'. This blog was mainly my place to vent out my creativity and fervor for fashion. Being the first fashion blogger in my city definitely gives me an unfathomable high~ I have always been inspired by fashion and its perfect juxtapositions. I opine that a persons dressing sense articulates who they really are. I believe Fashion changed me spiritually. You know you love yourself when you put in that extra effort to look good, it gives you that extra glow. I envelope myself in different styles and trends but in the end what stands out in them is ME. And thats how ""Be Me"" spawned~ Wearing my soul on my sleeve, I share my effervescent moments with fashion in myriad ways :)"
,Beauty Never Dates,http://www.beautyneverdates.com/,Muzyna,"Hyderabad , India",http://www.in-fb.com/p/infb-directory.html,"My name is Muzyna and my Lovely twin Madeeha - Arab-Indian Beauty bloggers and the girliest gurls on the planet .Beautyneverdates is all about tips and tricks on makeup , skin care ,Jewelry ,fashion and randomness By twinsez @Muzyna_N and@madeehanaqeeb."
Permission Denied,Confessions of the IT Fashionista,https://www.blogger.com/blogin.g?blogspotURL=http://confessions-of-the-it-fashionista.blogspot.in/,,"Hyderabad , India",http://www.in-fb.com/p/infb-directory.html,"
"
Permission Denied,My Fascination Life ,https://www.blogger.com/blogin.g?blogspotURL=http://confessions-of-the-it-fashionista.blogspot.in/,,"Hyderabad , India",http://www.in-fb.com/p/infb-directory.html,"
"
Not Open,Studded Fantasy,http://www.studdedfantasy.com/,,"Hyderabad , India",http://www.in-fb.com/p/infb-directory.html,
Permission Denied,The Chic Diary,https://www.blogger.com/blogin.g?blogspotURL=http://thechicdairy.blogspot.in/,,"Hyderabad , India",http://www.in-fb.com/p/infb-directory.html,
,The Girl At First Avenue,http://www.thegirlatfirstavenue.com/,Chandana,"Hyderabad , India",http://www.in-fb.com/p/infb-directory.html,Hi I'm Chandana :) An Indian fashion blogger based out of Hyderabad.Artist. Blogger/Writer. Travel buff. Style enthusiast. Finance graduate. Aspiring entrepreneur.
,Chappals vs Stilletoes,http://www.stripesandpolkas.blogspot.com/,Anupriya DG,"Kolkata , India",http://www.in-fb.com/p/infb-directory.html,"A Fashion Designer by profession, a Fashion Writer by choice & a Stylist by passion. Love colors. Like to read. Self-confessed shopaholic. Passionate photographer. Narcissist. Romantic. Piscean."
,"Bows, Hearts and Everything Cute",http://www.livelaughdressup.com/,The Faux Pas Girl,"Kolkata , India",http://www.in-fb.com/p/infb-directory.html,"The thing about growing up in the hills is that it makes you very picky about momos. For those who don't know, momo is a Nepali dish and one of my favourite things in the world. It is a steamed dumpling filled with meat or vegetables. Nothing can beat the taste of the momos made in the hills. So like a true momo lover, I was hunting for the best momo place here in Chennai and believe it or not, I was once served momos with coconut chutney! But I managed to find a really amazing momo place that makes you stand in line for ages, but you get served the yummiest momos later. TOTALLY WORTH IT!"
,Bong's Belleza,http://www.bongsbelleza.com/,Ayantika,"Kolkata , India",http://www.in-fb.com/p/infb-directory.html,"Hi, I am Ayantika from India, addicted to fashion, make up and beauty products and an IT consultant by profession. Also I do love to experiment with my cooking skill. Bong's belleza is all about today's women who balance her social life, her personal life, and also her career. She is a dreamer, she is a risk takers and she is a DIVA ! Thank you very much for stoppig here and please do leave your comment . Those are valuable to me !! Hope to get all your support !! :-)"
,Flysongbird,http://flysongbird.blogspot.in/,Debiparna,"Kolkata , India",http://www.in-fb.com/p/infb-directory.html,"My name is Debiparna Chakraborty but sometimes I go by Debi. It's easier to remember and pronounce I guess for pretty much every human I have come across so far. I am pursuing my master's degree in Film Studies and also looking for some part time/freelance jobs. I do freelance writing sometimes. I pretend like this blog is a resume builder for me, mostly it's personal inspiration, photographs I have taken and think are awesome and weird poses in outfits created from a very limited wardrobe. I also love my red ombre hair and styling flair. I understand the power of social media and I have an account pretty much on every site of any social importance."
