Unusual,Blog Name,URL,Person's Name,Location,Source,Description,Corrections
,Fashion at its fall,http://www.fashionatitsfall.com/,Maseehah,"Gauteng, South Africa",http://weblogforlove.com/blog-directory/,"My name is Maseehah, wannabe mermaid, smizer, sushi eater and human. I like pretty things and clever words. Show the love and support on my fashion diary, Fashion at its Fall.",
,play ful,http://www.playfultheblog.com/,Megon Playton,"Cape Town, South Africa",http://weblogforlove.com/blog-directory/,"SO, about two weeks ago, while watching E! Entertainment's new show 'The Fabulist', I came across an odd technique to clean your teeth called Oil Pulling.",
,fashion ct,http://fashionct.tumblr.com/,Lauren Campbell,"Cape town, South Africa",http://weblogforlove.com/blog-directory/,"Hey dolls,Im Lauren Campbell. I love socializing so don’t hesitate to tell or ask me anything!i Blog about fashion,Local Designers,outfit inspirations,events ect.",
,Arum lilea,http://arumlilea.blogspot.com/,Leanne,South Africa,http://weblogforlove.com/blog-directory/,Member of-Public Relations Institute of Southern Africa (PRISA),
,Hello Minkys,http://www.hellominkys.blogspot.com/,Loren,"Johannesburg, South Africa",http://weblogforlove.com/blog-directory/,"Welcome to my virtual scrapbook of all things pink and pretty! I'm a law graduate with a huge passion for beauty, fashion, food and travelling.",
,Raw explosions,http://rawexplosions.blogspot.com/,Monie Munnik,"Cape Town, South Africa",http://weblogforlove.com/blog-directory/,"I am available to promote your product/event/campaign/competition, as long as it ties into what I am all about and doesn't stray far from what Raw Explosions is all about.",
,One stiletto at a time,http://www.bloglovin.com/blog/4545455/one-stiletto-at-a-time,Abby Buchanan,"Cape Town, South Africa",http://weblogforlove.com/blog-directory/,"I am currently a Bcom Retail Management (hence my love for shopping) final year student, I also dabble in copywriting and am currently enrolled in a Copywriting for Online Marketing course through UCT. I have recently completed a Web Design course and this blog is where I put all my recently acquired skills into practice.",
,M!NX DYNASTY,http://fabulouslyminx.blogspot.com/,Sinazo Goci  ,"Western Cape, South Africa",http://weblogforlove.com/blog-directory/,"I have survived high school, cruising through varsity and now am tackling the big world, in a bid of making something of myself.",
,RuBe's Closet,http://www.rubescloset.com/,Rube,South Africa,http://weblogforlove.com/blog-directory/,"Financier by trade, married to my best friend, Mum to three rowdy boys and blogger as a hobby. I am a fashionista at heart, and take great joy in sharing things with like minded individuals. I am happiest when spending time with loved ones, in nature, listening to music and of course shopping or just browsing. My passions also include travelling, trying new things and experiences.",
,Lipglossed Ninja,http://www.lipglossedninja.co.za/,Lauren,South Africa,http://weblogforlove.com/blog-directory/,"Hi, I'm Lauren, the mastermind behind Lipglossed Ninja. Thanks for visiting and please leave comments, I love hearing from you!",
,Lucky Loves,http://www.lucky-loves.com/,Laiqah Ally,South Africa,http://weblogforlove.com/blog-directory/,"My name is Laiqah Ally (Pronunciation: La-ee-qah) and I'm a 20 something wife, new mum and graphic designer with ombre hair from Cape Town, South Africa dreaming of fashion, and what I'm going to buy next! - See more at: http://www.lucky-loves.com/p/about-me.html#sthash.1nrHOwTh.dpuf",
,Pretty Mint,http://www.prettymint.co.za/,Leigh,"Cape Town, South Africa",http://weblogforlove.com/blog-directory/,My name is Leigh. I am a swimwear designer and lifestyle blogger with two degrees in finance. No that does not make any sense. But nothing in life does. I am blissfully married to my best bud and live in the incomparably beautiful city of Cape Town.,
,David Venter,http://davidventer.net/,David Venter,South Africa,http://weblogforlove.com/blog-directory/,"Welcome to my website. My name is David Venter: seeker of awesomeness; Loving life and living the dream since 1987. My aim here is to share my life, and thoughts on everything that I find interesting and entertaining; so check back often for updates.",
,Diy Diya Collage,http://diydivacollege.wordpress.com/,Biz Plans,South Africa,http://weblogforlove.com/blog-directory/,"Trend Setters is a full-service beauty salon dedicated to consistently providing high customer satisfaction by rendering excellent service, quality products, and furnishing an enjoyable atmosphere at an acceptable price/value relationship. We will also maintain a friendly, fair, and creative work environment, which respects diversity, ideas, and hard work.",
,Jane Tennet,http://janetennet.wordpress.com/about/,Jane Tennet,"Durben, South Africa",http://weblogforlove.com/blog-directory/,"First things first, my name is Jane Tennet (yes, my surname is a palindrome and so is able to be spelt both ways and still be pronounced the same) I’m a twenty-something year old who lives in Durban, South Africa.",
,Crazy Beautiful,http://crazy-beautiful.co.za/about/about-jenna-leigh/,Jenna-Leigh,"Joburg, South Africa",http://weblogforlove.com/blog-directory/,"There is just something about life that even when you’re in a whirlwind of crazy, it’s still incredibly beautiful. I guess I’m like the Cheshire cat from Alice in Wonderland (note: I am Disney obsessed and will reference to Disney movies at every chance I get) here to tell you that most everyone is mad here!",
,The jade lotus Beauty,http://thejadelotusbeauty.blogspot.com/,Jade Lotus,South Africa,http://weblogforlove.com/blog-directory/,"I love Cheese Sandwiches - I'm sure most people do. Those buttery,creamy squares of heaven. They make the most superb dip-a-ables. Tasting great dunked in masala tea/cha or Jacobs coffee . I think that they are a go to staple and maybe for some people a quick, on-the-run snack. I see even Woolies have cottoned on and are making a cheese and onion version. The Grilled Cheese sandwich pics are the most pinned pictures on Pinterest. Food porn gets back to basics.",
,Girl in the Striped Tee,http://www.girlinthestripedtee.blogspot.com/,xTeeks,South Africa,http://weblogforlove.com/blog-directory/,I'm a South African girl in her 20s currently in law school working towards a Bachelor's degree. The law is something I've always been passionate about and my days spent trying to learn as much as I can about how my country is run are only made better by the fact that law students happen to be some of the most stylish people I know!,
,Prettiful Blog,http://prettifulblog.blogspot.com/,Prettiful,"Johannesburg, South Africa",http://weblogforlove.com/blog-directory/,"I am a 27 year old Joburg girl, who loves all things pretty. I am addicted to shoes, clothes, nail polish and beauty products. I am an economist by profession, but a fashionista at heart.",
,Freckled Faith,http://freckledfaith.blogspot.com/,Imaan O'Leary,South Africa,http://weblogforlove.com/blog-directory/,This past Saturday I had the privilege of being invited to a Sh'zen Pamper Party with the Radiant Ruwayda Du Toit.,
,Glitter Daiquiri,http://www.glitterdaiquiri.com/,Khensani xx,"Johannesburg, South Africa",http://weblogforlove.com/blog-directory/,"I'm an almost sixteen year old from Johannesburg, South Africa. I'm finally (and kind of sadly) in my eleventh year of high school and I want to be the fashion editor for Elle, a fashion buyer, a socialite cat lady, radical political activist feminist, founder of a print South African Rookie Mag, writer, undercover popstar and/or professional party girl that meets new and interesting people while wearing beautiful and interesting clothes and stuff - I haven't decided yet.",
